image_num,label
0.png,tensor([1])
1.png,tensor([5])
2.png,tensor([1])
3.png,tensor([6])
4.png,tensor([3])
5.png,tensor([9])
6.png,tensor([7])
7.png,tensor([4])
8.png,tensor([5])
9.png,tensor([8])
10.png,tensor([0])
11.png,tensor([6])
12.png,tensor([0])
13.png,tensor([8])
14.png,tensor([7])
15.png,tensor([6])
16.png,tensor([4])
17.png,tensor([6])
18.png,tensor([2])
19.png,tensor([2])
20.png,tensor([1])
21.png,tensor([1])
22.png,tensor([6])
23.png,tensor([2])
24.png,tensor([1])
25.png,tensor([8])
26.png,tensor([5])
27.png,tensor([1])
28.png,tensor([5])
29.png,tensor([5])
30.png,tensor([0])
31.png,tensor([0])
32.png,tensor([0])
33.png,tensor([1])
34.png,tensor([3])
35.png,tensor([6])
36.png,tensor([7])
37.png,tensor([2])
38.png,tensor([1])
39.png,tensor([3])
40.png,tensor([1])
41.png,tensor([6])
42.png,tensor([1])
43.png,tensor([3])
44.png,tensor([7])
45.png,tensor([4])
46.png,tensor([3])
47.png,tensor([0])
48.png,tensor([6])
49.png,tensor([7])
50.png,tensor([6])
51.png,tensor([5])
52.png,tensor([8])
53.png,tensor([0])
54.png,tensor([6])
55.png,tensor([1])
56.png,tensor([3])
57.png,tensor([6])
58.png,tensor([8])
59.png,tensor([2])
60.png,tensor([2])
61.png,tensor([9])
62.png,tensor([9])
63.png,tensor([5])
64.png,tensor([1])
65.png,tensor([7])
66.png,tensor([8])
67.png,tensor([7])
68.png,tensor([8])
69.png,tensor([8])
70.png,tensor([9])
71.png,tensor([0])
72.png,tensor([5])
73.png,tensor([0])
74.png,tensor([2])
75.png,tensor([5])
76.png,tensor([5])
77.png,tensor([7])
78.png,tensor([8])
79.png,tensor([9])
80.png,tensor([5])
81.png,tensor([0])
82.png,tensor([8])
83.png,tensor([3])
84.png,tensor([2])
85.png,tensor([9])
86.png,tensor([6])
87.png,tensor([5])
88.png,tensor([8])
89.png,tensor([3])
90.png,tensor([7])
91.png,tensor([9])
92.png,tensor([6])
93.png,tensor([6])
94.png,tensor([6])
95.png,tensor([1])
96.png,tensor([0])
97.png,tensor([5])
98.png,tensor([0])
99.png,tensor([5])
100.png,tensor([2])
101.png,tensor([7])
